REPAY_PNLT_INTR_MAX_AMT_LF         	float64             	Repay               
REPAY_PNLT_INTR_AVG_AMT_LF         	float64             	Repay               
MON_SNC_1ST_PNLT_INTR_PAID_LF      	float64             	Repay               
MON_SNC_LST_PNLT_INTR_PAID_LF      	float64             	Repay               
REPAY_FULL_SRVC_FEE_CNT_LF         	float64             	Repay               
REPAY_FULL_SRVC_FEE_RT_LF          	float64             	Repay               
MON_SNC_1ST_FULL_SRVC_FEE_LF       	float64             	Repay               
MON_SNC_LST_FULL_SRVC_FEE_LF       	float64             	Repay               
REPAY_FULL_INTRST_CNT_LF           	float64             	Repay               
REPAY_FULL_INTRST_RT_LF            	float64             	Repay               
MON_SNC_1ST_FULL_INTRST_LF         	float64             	Repay               
MON_SNC_LST_FULL_INTRST_LF         	float64             	Repay               
REPAY_FULL_PRNCPL_CNT_LF           	float64             	Repay               
REPAY_FULL_PRNCPL_RT_LF            	float64             	Repay               
MON_SNC_1ST_FULL_PRNCPL_LF         	float64             	Repay               
MON_SNC_LST_FULL_PRNCPL_LF         	float64             	Repay               
REPAY_TOT_PYMT_CNT_3M              	float64             	Repay               
REPAY_AVG_PYMT_CNT_3M              	float64             	Repay               
REPAY_MAX_PYMT_CNT_3M              	float64             	Repay               
REPAY_MIN_PYMT_CNT_3M              	float64             	Repay               
REPAY_MAX_PMT_DELAY_DAYS_3M        	float64             	Repay               
REPAY_MIN_PMT_DELAY_DAYS_3M        	float64             	Repay               
REPAY_MAX_PMT_SPAN_3M              	float64             	Repay               
REPAY_AVG_PMT_SPAN_3M              	float64             	Repay               
ACTUAL_REPAY_TOT_AMT_3M            	float64             	Repay               
ACTUAL_REPAY_TOT_BAL_3M            	float64             	Repay               
REPAY_AVG_PAYDOWN_RT_ARM_3M        	float64             	Repay               
REPAY_MAX_PAYDOWN_RT_ARM_3M        	float64             	Repay               
REPAY_MIN_PAYDOWN_RT_ARM_3M        	float64             	Repay               
REPAY_LATEFEE_TOT_CNT_3M           	float64             	Repay               
REPAY_LATEFEE_TOT_AMT_3M           	float64             	Repay               
REPAY_LATEFEE_MAX_AMT_3M           	float64             	Repay               
REPAY_LATEFEE_AVG_AMT_3M           	float64             	Repay               
MON_SNC_1ST_LATEFEE_PAID_3M        	float64             	Repay               
MON_SNC_LST_LATEFEE_PAID_3M        	float64             	Repay               
REPAY_PNLT_INTR_TOT_CNT_3M         	float64             	Repay               
REPAY_PNLT_INTR_TOT_AMT_3M         	float64             	Repay               
REPAY_PNLT_INTR_MAX_AMT_3M         	float64             	Repay               
REPAY_PNLT_INTR_AVG_AMT_3M         	float64             	Repay               
MON_SNC_1ST_PNLT_INTR_PAID_3M      	float64             	Repay               
MON_SNC_LST_PNLT_INTR_PAID_3M      	float64             	Repay               
REPAY_FULL_SRVC_FEE_CNT_3M         	float64             	Repay               
REPAY_FULL_SRVC_FEE_RT_3M          	float64             	Repay               
MON_SNC_1ST_FULL_SRVC_FEE_3M       	float64             	Repay               
MON_SNC_LST_FULL_SRVC_FEE_3M       	float64             	Repay               
REPAY_FULL_INTRST_CNT_3M           	float64             	Repay               
REPAY_FULL_INTRST_RT_3M            	float64             	Repay               
MON_SNC_1ST_FULL_INTRST_3M         	float64             	Repay               
MON_SNC_LST_FULL_INTRST_3M         	float64             	Repay               
REPAY_FULL_PRNCPL_CNT_3M           	float64             	Repay               
REPAY_FULL_PRNCPL_RT_3M            	float64             	Repay               
MON_SNC_1ST_FULL_PRNCPL_3M         	float64             	Repay               
MON_SNC_LST_FULL_PRNCPL_3M         	float64             	Repay               
REPAY_TOT_PYMT_CNT_6M              	float64             	Repay               
REPAY_AVG_PYMT_CNT_6M              	float64             	Repay               
REPAY_MAX_PYMT_CNT_6M              	float64             	Repay               
REPAY_MIN_PYMT_CNT_6M              	float64             	Repay               
REPAY_MAX_PMT_DELAY_DAYS_6M        	float64             	Repay               
REPAY_MIN_PMT_DELAY_DAYS_6M        	float64             	Repay               
